Date,High,Low,Open,Close,Volume,Adj Close,指数
2020-02-03,23023.73046875,22775.919921875,22874.26953125,22971.939453125,72500,22971.939453125,日経平均株価
2020-02-04,23118.130859375,22854.44921875,22881.130859375,23084.58984375,67900,23084.58984375,日経平均株価
2020-02-05,23414.689453125,23241.640625,23351.470703125,23319.560546875,70300,23319.560546875,日経平均株価
2020-02-06,23995.369140625,23625.130859375,23641.099609375,23873.58984375,95100,23873.58984375,日経平均株価
2020-02-07,23943.44921875,23759.419921875,23899.009765625,23827.98046875,65400,23827.98046875,日経平均株価
2020-02-10,23788.25,23621.720703125,23631.7890625,23685.98046875,56500,23685.98046875,日経平均株価
2020-02-12,23869.73046875,23693.720703125,23741.2109375,23861.2109375,74600,23861.2109375,日経平均株価
2020-02-13,23908.849609375,23784.310546875,23849.759765625,23827.73046875,64500,23827.73046875,日経平均株価
2020-02-14,23738.419921875,23603.48046875,23714.51953125,23687.58984375,69100,23687.58984375,日経平均株価
2020-02-17,23561.98046875,23335.990234375,23489.779296875,23523.240234375,54000,23523.240234375,日経平均株価
2020-02-18,23402.009765625,23133.599609375,23398.5703125,23193.80078125,59500,23193.80078125,日経平均株価
2020-02-19,23468.560546875,23234.9609375,23329.330078125,23400.69921875,61600,23400.69921875,日経平均株価
2020-02-20,23806.560546875,23426.419921875,23666.580078125,23479.150390625,63300,23479.150390625,日経平均株価
2020-02-21,23588.55078125,23378.330078125,23427.76953125,23386.740234375,62100,23386.740234375,日経平均株価
2020-02-25,22950.23046875,22335.2109375,22949.369140625,22605.41015625,105800,22605.41015625,日経平均株価
2020-02-26,22456.55078125,22127.419921875,22374.140625,22426.189453125,99300,22426.189453125,日経平均株価
2020-02-27,22272.259765625,21844.2890625,22255.830078125,21948.23046875,106200,21948.23046875,日経平均株価
2020-02-28,21528.130859375,20916.400390625,21518.009765625,21142.9609375,148500,21142.9609375,日経平均株価
2020-03-02,21593.109375,20834.2890625,20849.7890625,21344.080078125,123700,21344.080078125,日経平均株価
2020-03-03,21719.779296875,21082.73046875,21651.990234375,21082.73046875,105300,21082.73046875,日経平均株価
2020-03-04,21245.9296875,20862.05078125,20897.19921875,21100.060546875,94600,21100.060546875,日経平均株価
2020-03-05,21399.869140625,21220.759765625,21399.869140625,21329.119140625,85700,21329.119140625,日経平均株価
2020-03-06,21061.19921875,20613.91015625,21009.80078125,20749.75,111700,20749.75,日経平均株価
2020-03-09,20347.189453125,19472.259765625,20343.310546875,19698.759765625,170300,19698.759765625,日経平均株価
2020-03-10,19970.349609375,18891.76953125,19474.890625,19867.119140625,164700,19867.119140625,日経平均株価
